"","V1","V2"
"134","Jimmie Åkesson vill inte förbjuda religiösa friskolor, bara stoppa nya. Varför? Uppenbart att det finns stora problem i befintliga religiösa friskolor. Religös påverkan hör inte hemma i svensk skolan. #svtopinion","socialdemokrat"
"135","https://www.expressen.se/sport/fotbollsvm/stefan-lofvens-hyllning-till-landslagshjaltarna/ … #viärsverige","socialdemokrat"
"136","Heja Sverige!  fotboll är en sosse-sport. Vi är starkare tillsammans när vi sätter laget före jaget! Kl 16 gör vi Brexit med England ","socialdemokrat"
"137","Nu håller vi alla tummar och peppar inför VM-matchen. Heja Sverige!  #viärsverige","socialdemokrat"
"138","”En SD-röst motarbetar kvinnors rättigheter” https://omni.se/en-sd-rost-motarbetar-kvinnors-rattigheter/a/XwA1mE … @strandhall @linde_hans","socialdemokrat"
"139","Grattis till Esrange, Sverige och Europa! Regeringen investerar 80 miljoner i anläggning på Esrange https://www.svt.se/nyheter/lokalt/norrbotten/regeringen-investerar-80-miljoner-i-anlaggning-pa-esrange?cmpid=del:tw:20180707:regeringen-investerar-80-miljoner-i-anlaggning-pa-esrange:nyh:lp … via @svtnyheter @SSCspace @heleneHK","socialdemokrat"
"140","We need to end the violence and suffering in Syria and Yemen. Good talks with my friend UN Secretary-General @antonioguterres on peace-keeping, UN-reform and Sweden's role in the Security Council.","socialdemokrat"
"141","Statsministerns tal från Almedalen i sin helhet. Lyssna. ""Vi väljer vad vi vill göra med vår stund på jorden.""","socialdemokrat"
"142","Så motarbetar SD kvinnors rättigheter • Tystnaden kring Sverigedemokraternas kvinnosyn är oroväckande, skriver socialminister Annika Strandhäll (S) https://www.expressen.se/debatt/sa-motarbetar-sd-kvinnors-rattigheter/ …","socialdemokrat"
"143","Blir rasande av att se nazisternas härjande i Visby. Nazister har inget i Almedalen att göra. De har överhuvudtaget ingen plats i vårt demokratiska samhälle. Denna vedervärdiga ideologi måste bekämpas med full kraft.","socialdemokrat"
"144","Det var ett mycket viktigt och bra tal som statsministern höll igår i Almedalen. Valet är inte bara en folkomröstning om välfärden. Det är också ett vägval för Sverige: ett land där människor ställs mot varandra. Eller ett land där vi håller ihop.","socialdemokrat"
"145","”Jag vill inte ge mest till de som redan har mest. Därför kan jag säga ärligt till de som har mest i vårt samhälle. Nu får ni stå tillbaka. Nu är det vanligt folks tur”. - Stefan Löfven","socialdemokrat"
"146","LIVE-TV: ”Jag vill inte ge mest till de som redan har mest” • Följ Stefan Löfvens tal i #Almedalen i @ExpressenTV 
https://www.expressen.se/nyheter/almedalen/almedalen-2018--folj-politikerveckan-i-visby-med-expressen/ …","socialdemokrat"
"147","Läs hela Stefan Löfvens tal i Almedalen här:","socialdemokrat"
"148","Vi måste alla fatta vårt eget beslut och axla vårt ansvar. Välja att stå på rätt sida av historien. Och när du ser tillbaka på ditt liv, när du sitter där med barnbarnen i knät, då kommer du kunna se dem i ögonen och säga: Jag var med! - Stefan Löfven","socialdemokrat"
"149","Därför blir valet en folkomröstning om svensk välfärd. De pengar ni jobbat ihop, ska inte bli till större förmögenheter för några rika få. De ska gå till ett starkare samhälle – ett tryggare Sverige – för oss alla! - Stefan Löfven","socialdemokrat"
"150","Jag vill inte ge mest till de som redan har mest. Därför kan jag säga ärligt till er som har mest i vårt samhälle: Nu får ni faktiskt stå tillbaka – nu är det vanligt folks tur! - Stefan Löfven","socialdemokrat"
"151","Vårt samhälle ska aldrig acceptera fattigpensionärer som ett faktum! Därför har vi höjt de ekonomiska stöden, och steg för steg avskaffar vi den omoraliska skillnaden i beskattning mellan lön och pension. - Stefan Löfven","socialdemokrat"
"152","Vi vill anställa ytterligare 14 000 i vården under de kommande fyra åren. Det är människor som hjälper människor. Som i all oro, förväntan, lycka och sorg, visar att vi är ett samhälle som tar hand om varandra. Vi håller ihop. - Stefan Löfven","socialdemokrat"
