"","V1","V2"
"115","Hästar ger både glädje, spänning och gemenskap – men också mängder av jobb. Tiotusentals arbetar redan inom hästnäringen. Med bättre förutsättningar kan de växa och anställa fler. Se filmen med våra förslag för hur vi vill stärka svensk hästnäring!","Centerpartiet"
"116","Välkomna alla nya krafter i Centerpartiet inför årets valrörelse!","Centerpartiet"
"117","870 612 svenskar har hittills sett detta Facebook-inlägg av @annieloof, har du? 

https://www.facebook.com/118943054880945/posts/1575175519257684/ …","Centerpartiet"
"118","MP tappar kandidater inför valet – Centern lockar till sig namn https://omni.se/mp-tappar-kandidater-centern-lockar-till-sig-namn/a/p6krvw … @Centerpartiet #svpol #val2018","Centerpartiet"
"119","Sylvass och viktig text av @pwolodarski.

”Orsaken till denna ovilja (att samarbeta) är inte komplicerad. Den står att finna i SD:s återkommande och djupt obehagliga rangordning av människor.”","Centerpartiet"
"120","För ett år sedan var Jimmy Durmaz hjälte och målskytt när vi vann en avgörande seger mot Frankrike i VM-kvalet. Nu öser rasister sitt hat över honom. Det är ovärdigt och ynkligt. Lägg av! 

Våra hjärtan klappar för hela svenska landslaget. I vått och torrt. Nu tar vi Mexico!","Centerpartiet"
"121","”Nu behöver vi ta tillbaka Sverige från rasisterna och hatarna. Hatarna förpestar samhället och skämmer ut Sverige.
Jag älskar fotboll. Stora delar av mitt liv har jag...”
Läs hela på: https://instagram.com/p/BkZrkZvBWfe/ ","Centerpartiet"
"122","Vi har länge drivit på frågan om gårdsförsäljning i riksdagen. Vi vill bland annat att det ska bli tillåtet med gårdsförsäljning av lokalproducerad alkohol i Sverige. En levande landsbygd för Sverige framåt. Dela gärna filmen!","Centerpartiet"
"123","200 000 ungdomar kommer bara gå hemma i sommar. Detta är ett slöseri och vi avsätter därför 660 miljoner kronor till ett sommarjobbsavdrag som skulle kunna skapa upp till 30 000 nya sommarjobb. Läs @FredrikChs och @magnusaek på @ABDebatt. https://www.aftonbladet.se/debatt/a/BJ1M7v/ungdomar-ska-inte-ga-hemma--de-ska-jobba … #svpol","Centerpartiet"
"124","Vi önskar alla våra följare en riktigt glad midsommar!","Centerpartiet"
"125","Lyssna på @anderswjonsson debattera mot Anna Ekström (S) om Socialdemokraternas vallöfte att begränsa valfriheten #svpol","Centerpartiet"
"126","Hundratusentals barn som går på välfungerande skolor runt om i landet riskerar att tvingas byta skola på grund av Socialdemokraternas hot om nedläggning av friskolor. Istället borde fokus ligga på att alla skolor ska vara bra skolor. #svpol","Centerpartiet"
"127","Det är helt oacceptabelt att lantbrukare får utstå hot och trakasserier. Läs mer om hur vi vill stoppa det.","Centerpartiet"
"128","Barn separeras från sina föräldrar och barnen sitter i förvar i burar. I USA. Det är rättsvidrigt, ovärdigt och häpnadsväckande. Högerpopulister som styr leder till ett omänskligt samhälle.","Centerpartiet"
"129","”Tusentals svenskar har under den här debatten stått upp för det de tror på. När tänker ledaren för Sverigedemokraterna göra det?”
@federley ställer en rak fråga till Jimmie Åkesson: Berätta varför Sverigedemokraterna inte anser att judar är svenskar.","Centerpartiet"
"130","Ett område nästan lika stort som Danmark ska hanteras av en polisbil. Människor i gles och landsbygd måste kunna känna samma möjlighet att ringa polisen och få hjälp. Vi vill stärka polisen i hela landet. 
Dela gärna filmen med @annieloof!","Centerpartiet"
"131","Välkommet förslag från L att göra det svårare att föra ut flickor ur Sverige för att utsätta dem för könsstympning eller tvångsäktenskap i ett annat land. Ju fler vi är som bekämpar detta förtryck, desto bättre. Centerpartiet föreslog detta redan 2016:","Centerpartiet"
"132","Idag börjar Fotbolls-VM på riktigt, Sverige mot Sydkorea, med start klockan 14. Vi hoppas såklart på en lika härlig fotbollssommar som 94. Dela gärna @annieloof’s hälsning till landslaget!","Centerpartiet"
"133","Vi har förslagen för företagsamhet, jobb och tillväxt! Sverige måste stärka företagsklimatet, få fram fler bostäder och lägga fler förslag för fler jobb. Då krävs en högre reformtakt! 
Läs mer här:","Centerpartiet"
"134","”Vad driver Annie Lööf? Svaret går att finna i några omtumlande månader 2011 – och i en by med 70 invånare.” Lyssna på Söndagsintervjun med <U+2066>@annieloof<U+2069> här.","Centerpartiet"
"135","Om mindre än 100 dagar är det val i Sverige. Sverige behöver ett nytt ledarskap som kan föra Sverige Framåt. Vill du vara med och engagera dig? Bli medlem via länken! https://www.centerpartiet.se/engagera-dig/bli-medlem …","Centerpartiet"
"136","Det måste löna sig att utbilda sig till specialistsjuksköterska. Vi vill därför se:
 Karriärstjänster för specialistsjuksköterskor
 Full lön under specialistutbildningen","Centerpartiet"
"137","Missa inte @BanarSabet i P1 från Järvaveckan, med start ca 16.15!","Centerpartiet"
"138","Breda, långsiktiga reformer för förändring krävs nästa mandatperiod för:
arbetsmarknaden
 bostadsmarknaden
 migrationen 
 skattesystemet
Framåtsyftande reformer med brett stöd i riksdagen som för Sverige framåt. Skriver på @DNDebatt:","Centerpartiet"
"139","Det går på många sätt bra för Sverige. Trots det håller Sverige på att klyvas och en ny underklass växer fram.
Vi är beredda att ta stort ansvar för nya långsiktiga reformer. Efter valet behövs breda överenskommelser för att hålla ihop och utveckla Sverige","Centerpartiet"
"140","Nynationalismens höga pris – @MartinAadahl om en långt från förlorad kamp https://www.svd.se/martin-adahl-nynationalismens-hoga-pris … via @SvDledare","Centerpartiet"
"141","Missa inte min intervju med @businesspodden där jag pratar om entreprenörskap, digitalisering och hur vi ska skapa fler jobb. Dessutom är jag med och kommenterar ett antal pitchar på företagsidéer. Lyssna gärna!","Centerpartiet"
"142","Är det största hindret för att fler ska få jobb 235 utländska städare, eller 1 socialdemokratisk statsminister?  @annieloof i debatt med statsministern om arbetskraftsinvandring.","Centerpartiet"
