"","V1","V2"
"93","Är förbud mot plasttops och onödiga plastartiklar något att skratta åt? Vissa tycker det. Svårt att hålla med efter att ha sett fotografen Justin Hofmans bild. #svpol","miljopartiet"
"94","Vi ska bidra med lösningarna, vi ska visa världen att det går.
Se @IsabellaLovin tal till nationen: https://www.svt.se/nyheter/inrikes/lovin-mp-sverige-ska-bli-varldens-forsta-fossilfria-valfardsland … #nu #klimat #val2018","miljopartiet"
"95","– Om inte vi så vilka? Om inte Nu så när?

Se @IsabellaLovin tal till nationen nu på SVT1! https://www.svt.se/nyheter/inrikes/lovin-mp-sverige-ska-bli-varldens-forsta-fossilfria-valfardsland …","miljopartiet"
"96","Våra förslag:
1. Fler nattåg! Somna i Sverige, vakna i Tyskland, Frankrike eller Belgien.

2. Ge SJ uppdrag att sälja tågresor till och på kontinenten.

3. Bättre bokningssystem för se alternativ, jämföra priser och köpa sammanhängande resor från samma sajt.","miljopartiet"
"97","Det ska vara lika enkelt att boka tåg ut i Europa som flyg!  #mpkongress #nu https://www.facebook.com/miljopartiet/videos/10157832547951151/ …","miljopartiet"
"98","Nu: språkrören presenterar förslag för enklare tågresande i Europa! https://www.facebook.com/miljopartiet/videos/10157832547951151/ …","miljopartiet"
"99","""Framtiden är grön. Framtiden är vår""- @IsabellaLovin #nu","miljopartiet"
"100","""Förändringar krävs nu. Klimatförändringarna sker nu. Det innebär att det är nu vi kan välja att bli den modiga generationen som inte bara fattade, utan också gjorde. Det är nu vi skriver försvarstalet till våra barn och barnbarn."" #mpkongress #nu @IsabellaLovin","miljopartiet"
"101","""Att Sverige internationellt tagit på sig ledartröjan både för klimatet och aborträtten när Trumpadministrationen hotar det, att vi står upp för asylrätten – det är det som gör att vi rankas högst i internationella hållbarhetsindex!"" – @IsabellaLovin #mpkongress #nu","miljopartiet"
"102","""De första och kanske viktigaste bitarna i det fossilfria Sverigepusslet har lagts.
Och det är ingen slump att det händer nu."" @IsabellaLovin #mpkongress #härochnu","miljopartiet"
"103","NU: @IsabellaLovin talar på #mpkongress. Följ live: https://www.svt.se/nyheter/svtforum/miljopartiets-kongress-i-vasteras-sondag … ","miljopartiet"
"104","""Valet 2018 är kanske viktigaste någonsin. Den handlar om vilken roll Sverige ska ha i världen, om klimatledarskap, om den gröna omställning vi påbörjat och som är helt avgörande att vi fortsätter."" - Amanda Lind #mpkongress https://www.youtube.com/watch?v=HxcpjNWCcfA …","miljopartiet"
"105","Dags att producenterna tar större ansvar för att produkterna ska hålla längre! #nu #mpkongress","miljopartiet"
"106","Vi vill underlätta för alla att minimera skräp, återanvända och återvinna material! Alla kan göra något för att stoppa nedskräpningen #nu http://www.facebook.com/miljopartiet/videos/10157824271301151/?fref=gs&dti=1469321029988729&hc_location=group …

#mpkongress","miljopartiet"
"107","Vi måste bort från köp- och slängkulturen! #nu tar vi hårdare tag mot nedskräpning och slöseri med våra resurser https://www.facebook.com/miljopartiet/videos/10157824271301151/ …

#mpkongress","miljopartiet"
"108","Ojnareskogen lever och kärnkraftens framtid är död. Solcellerna åker upp på taket och kol stannar i marken. Det handlar om nu. Klimatet kan inte vänta. #mpkongress #nu","miljopartiet"
"109","Fridolin: Det är aldrig nej-sägarna som bygger framtiden. Gårdagens pionjärer formar dagens folkvett. Hur framtiden blir avgörs av vad vi gör NU! #MPkongress","miljopartiet"
"110","""För dagens unga är miljö och klimat den viktigaste frågan. Och det är inte så konstigt - det är ju deras framtid det handlar om. Vi har inte tid att vänta. Det handlar om nu."" - Gustav Fridolin. #mpkongress #nu","miljopartiet"
"111","Vi sliter ut oss själva och planeten. Miljöpartiet står för en politik för varandra – där vi får hålla och där vi får hålla ihop. Gustav Fridolin inledningstalar: https://www.svt.se/nyheter/svtforum/miljopartiets-kongress-1 … #nu","miljopartiet"
"112","I valet 2018 är det Miljöpartiet som står för planetens och medmänsklighetens röst. – @IsabellaLovin #mpkongress #nu","miljopartiet"
"113","NU inleds #mpkongress! Följ live: https://www.svt.se/nyheter/svtforum/miljopartiets-kongress-1 … Klimatet kan inte vänta.","miljopartiet"
"114","Vi vet att många människor i Sverige vill att det ska finnas ett parti som sätter miljön först. Snart inleds #mpkongress i Västerås! #nu https://www.tv4.se/nyhetsmorgon/klipp/gustav-fridolin-om-h%C3%B6stens-val-vi-kommer-inte-att-%C3%A5ka-ur-jag-vet-det-3973227 …","miljopartiet"
"115","Mer kultur till fler! På lördag på #mpkongress släpps Miljöpartiets nya kulturpolitiska program.","miljopartiet"
"116","Idag börjar Miljöpartiets kongress i Västerås! Klimatet kan inte vänta.","miljopartiet"
"117","Flygets ökning måste hejdas om vi ska klara klimatet, det räcker inte med att förlita sig på biobränslen @IsabellaLovin  i @svtnyheter","miljopartiet"
"118","I Aktuellt @svtnyheter ikväll blir det äntligen miljödebatt med @annieloof och @IsabellaLovin med fokus på klimat och skog.","miljopartiet"
"119","ÄNTLIGEN! Sverige har en #samtyckeslag! https://www.facebook.com/miljopartiet/videos/10157818276221151/ …","miljopartiet"
"120","Klimatforskningen får inte bromsas. Vi erbjuder nu klimatforskare från USA att gästforska i Sverige. Klimatet kan inte vänta. #MakethePlanetGreatAgain #svpol #klimat","miljopartiet"
"121","Utsläppen fortsätter att minska, men det här är bara början.
Vi vill göra mer. Nu. Klimatet kan inte vänta. #nu 
https://www.facebook.com/miljopartiet/videos/10157813186046151/ …","miljopartiet"
"122","Vi vill att tågbolagen öppnar upp sina bokningssystem så att det blir lika lätt att ta tåget som flyget på resan i Europa! #tåg #tågsemester #klimat","miljopartiet"
"123","Vi vill ha fler parker, inte fler parkeringar. 
Vi behöver planera samhället för människan och miljön, inte för bilen. 
 #biomfdag #urbpol #bopol #miljö","miljopartiet"
"124","“Nu skriver vi historia. Kampen för varje kvinna och människas självbestämmanderätt genom en samtyckeslag går i mål."" #samtycke @AnnikaHirvonen https://www.mp.se/just-nu/regeringen-tar-fram-ny-samtyckeslag …","miljopartiet"
"125","“Idag debatterar vi ett lagförslag som säger just att sex som sker utan frivillighet är våld, våldtäkt.” - @AnnikaHirvonen följ på http://www.riksdagen.se  #samtycke","miljopartiet"
"126","Vi storsatsar på biologisk mångfald! #nu https://www.facebook.com/miljopartiet/videos/10157812564766151/ …","miljopartiet"
"127","Jämtland och Halland flest nyregistrerade laddbilar efter Stockholm. Betyder att laddinfrastruktur börjar komma på plats i hela landet! #klimatklivet","miljopartiet"
"128","Sveriges klimatpåverkande utsläpp minskade med 1,4 procent under 2017. https://www.naturvardsverket.se/Nyheter-och-pressmeddelanden/Utslappen-av-vaxthusgaser-minskar---men-for-langsamt/ … För att klara klimatmålen måste de minska snabbare. Vi är redo! #nu","miljopartiet"
"129","Fridolin: Om vi inte tar klimathotet på allvar så kommer allt fler med rätta vara oroliga för framtiden. Men tar vi tag i utmaningen finns det enorma möjligheter för landsbygd och hela landet! #landsbygdsriksdagen","miljopartiet"
"130","Fridolin: Det finns en fundamental skillnad i synen på landsbygdens resurser. Gör vi stora breda skattesänkningar som de borgerliga och SD förslår kommer det att slå hårt mot skolan, sjukvård, förskola och äldrevård på landsbygden. #landsbygdsriksdagen","miljopartiet"
"131","Gustav Fridolin: Landsbygden spelar en helt avgörande roll för Sveriges omställning till ett helt förnybart energisystem. Då måste de kommuner och regioner som står för vind- och vattenkraft få större ersättning för den energi som de producerar. #landsbygdsriksdagen","miljopartiet"
