"","V1","V2"
"177","Fyra stationer på blå linjen i Stockholms tunnelbana har blivit rödmarkerade för biljettkontrollanter och ordningsvakter. Bara med stöd av polis får de utföra sitt jobb på stationerna Rinkeby, Tensta, Rissne och Hjulsta. #SD2018 #svpol","sdriks"
"178","GP rapporterar om familjer som mobbas för att de inte är tillräckligt religiösa, föräldrar som kräver att barnen ska filmas i skolan så de inte tar av sig slöjan eller att barn inte får leka med det andra könet.

Det får vara nog nu. #SD2018","sdriks"
"179","Läs detta. Finns det någon som fortfarande menar att det inte pågår en islamisering av samhället?","sdriks"
"180","Avskaffa straffrabatten för unga. #SD2018 #svpol","sdriks"
"181","97 dagar till valet.
Idag debatterar jag afghanamnestin och yrkar som utlovat på återförvisning. Riksdagsdebatten beräknas börja runt 14 (om inte debatterna innan drar ut på tiden).","sdriks"
"182","Jag och @MangePersson i Svd ”LO:s förste vice ordförande Therese Guovelin tog replik och nekar å det bestämdaste till att det finns några olämpliga förehavande mellan LO och Socialdemokraterna. Läs vårt svar:","sdriks"
"183","","sdriks"
"184","Trevlig helg!  #SD2018","sdriks"
"185","Stefan Löfven presenterade sin lösning på Socialdemokraternas kris i samband med Byggnads kongress i Göteborg: Sluta prata om de frågor väljarna anser är viktiga och påstå att problemet redan är hanterat. #SD2018 #svpol","sdriks"
"186","Fri Köpenskap har undersökt var butikscheferna kommer att lägga sina röster i höst. I deras undersökning uppgav var fjärde butikschef att de kommer att rösta på Sverigedemokraterna i valet.

Den 9 september är det val. #SD2018","sdriks"
"187","Det svenska jordbruket är ledande vad gäller låga växthusgasutsläpp. Ökad svensk matproduktion kommer, trots något ökade utsläpp på nationell nivå, bidra till minskade utsläpp på global nivå. Vi motsätter oss därför åtgärder som fördyrar svensk livsmedelsproduktion i Sverige.","sdriks"
"188","Nya EU-regler blev klara förra veckan som innebär att odlare måste upphöra med att odla ekologisk sallad i kruka. #vadvifårför40miljarder 

Den 9 september är det val. #SD2018","sdriks"
