"","V1","V2"
"131","Aldrig igen ska det bli nazisternas tid! För det är alla vi – tillsammans – som är Sverige, sa Christina Höj Larsen vid dagens mångfaldspromenad i Visby.","vansterpartiet"
"132","När SvD bad de svenska EU-parlamentarikerna att ""i den offentlighetsprincipens anda"" visa upp kvitton, bankkontoutdrag eller annan redovisning för hur de använt klumpsumman under en given tid, vägrade alla utom en: Vänsterpartiets ledamot Malin Björk.","vansterpartiet"
"133","Fem punkter för att en #skattereform ska ge jämlikhet, välfärd och hålla ihop landet, föreslår @aliesbati @vansterpartiet","vansterpartiet"
"134","Vi ska bygga 80 000 nya bostäder på 10 år. Vi måste bära detta tillsammans, inte bara enskilda kommuner eller företag kan ta det ansvaret. Det är en statlig fråga. @nooshiit @vansterpartiet #almedalen #allmännyttan #svpol #bopol","vansterpartiet"
"135","Idag kl 12.45 var Vänsterpartiets Rossana Dinamarca, Daniel Riazat, Momodou Jallow och Jeanette Escanilla med och bildade en mänsklig länk utanför RFSL:s lokaler i Almedalen, till stöd… https://www.instagram.com/p/BkzsfJuDQ0Z/?utm_source=ig_twitter_share&igshid=15fk2qgtxkf3j …","vansterpartiet"
"136","Nooshi Dadgostar (V) vice partiordförande och bostadspolitisk talesperson skriver på Gästbloggen om alla människors rätt till en bostad. http://gastblogg.maqt.se/2018/07/02/nar-jag-fick-ett-hem/ … #svpol #val2018 #Almedalen @nooshiit @vansterpartiet","vansterpartiet"
"137","""#Vänsterpartiet växer, och det behövs verkligen - inget annat parti står så fast upp för en politik för jämlikhet, feminism, klimatet och flyktingsolidaritet. Och mina vänner...det behövs sannerligen i dessa tider!"" https://www.facebook.com/Itsbugart/posts/10214018337386119 …","vansterpartiet"
"138","Vackert Sverige! 
Skillnaden mellan Sverige och Schweiz? Vi är de som vinner.","vansterpartiet"
"139","Liberalernas partiledare rasar mot politik han själv genomfört. 
Vad står partiet egentligen för? undrar @vansterpartiet:s @jsjostedt.","vansterpartiet"
"140","– En del föräldrar har det tufft ekonomiskt och då är det ju väldigt bra om även deras ungar kan få testa på idrotter, säger Dan Corneliusson, hjälten från IFK Göteborgs guldlag, till… https://www.instagram.com/p/Bkwymy-jPVR/?utm_source=ig_twitter_share&igshid=14rwyd5oczk4s …","vansterpartiet"
"141","”Verkligheten är att familjer ser olika ut och Vänsterpartiet har länge tyckt att barn även juridiskt kan ha fler än två föräldrar” säger Malin Björk i RFSL:s #hbtq-partidebatt.","vansterpartiet"
"142","Nya katastrofsiffror för Löfven – Jonas Sjöstedt går om i ny förtroendemätning från Expressen/Demoskop.
https://www.expressen.se/nyheter/almedalen/ny-katastrofmatning-for-lofven-sjostedt-gar-om-i-fortroende …","vansterpartiet"
"143","Är Björklund för eller emot att ge SD politisk makt idag, vad tycker han imorgon? Svårt att veta, liberalerna är svensk politiks egen tombola.","vansterpartiet"
"144","Vi behöver en skattereform. Överklassen måste få incitament att anstränga sig mer, bland annat. Läs gärna!","vansterpartiet"
"145","Jonas Sjöstedt lyfter att löneskillnaderna mellan kvinno- och mansdominerade yrken behöver minska. Bra! För att sluta gapet måste kvinnors löner få öka i en snabbare takt än mäns. #almedalen @vansterpartiet","vansterpartiet"
"146","Sjöstedt attackerar symbolpolitiken: ""de vill att vi ska diskutera böneutrop istället för hur högern lurar skjortan av vanligt folk."" Bra där.","vansterpartiet"
"147","""Vänsterpartiets tandvårdsreform kan bli en av de stora reformerna i vår tid."", säger Jonas Sjöstedt om V:s förslag att tandvård ska in under högkostnadsskyddet. Ett bra förslag, som regeringen redan borde ha lagt. #Almedalen18","vansterpartiet"
